Repo,Rule,CNT
ozzi-/JWT4B,S2259,2
ozzi-/JWT4B,S1206,1
ozzi-/JWT4B,S2885,1
Athou/commafeed,S2259,2
AddstarMC/Prism-Bukkit,S1206,2
AddstarMC/Prism-Bukkit,S2885,2
AddstarMC/Prism-Bukkit,S1764,2
AddstarMC/Prism-Bukkit,S1751,2
hsiafan/apk-parser,S3923,1
JakeWharton/flip-tables,S5998,1
square/jna-gmp,S2189,2
rhuss/jolokia,S2259,9
rhuss/jolokia,S3077,1
rhuss/jolokia,S2885,1
rhuss/jolokia,S5998,1
rhuss/jolokia,S2583,1
rhuss/jolokia,S2225,1
ctran/TinyRadius,S2189,1
argparse4j/argparse4j,S899,4
argparse4j/argparse4j,S2583,2
toolbox4minecraft/amidst,S3077,57
toolbox4minecraft/amidst,S1244,3
toolbox4minecraft/amidst,S2259,1
mguymon/model-citizen,S1862,1
mguymon/model-citizen,S2259,1
lucastheisen/jsch-nio,S2259,4
lucastheisen/jsch-nio,S899,2
lucastheisen/jsch-nio,S2885,1
modelmapper/modelmapper,S3077,17
modelmapper/modelmapper,S1206,3
modelmapper/modelmapper,S1244,2
modelmapper/modelmapper,S1764,1
modelmapper/modelmapper,S2259,1
palatable/lambda,S2134,3
palatable/lambda,S899,1
palatable/lambda,S1221,1
c-rack/cbor-java,S1244,6
c-rack/cbor-java,S2183,3
c-rack/cbor-java,S2189,1
c-rack/cbor-java,S2159,1
uwolfer/gerrit-rest-java-client,S2885,1
cloudbees-oss/zendesk-java-client,S2259,15
cloudbees-oss/zendesk-java-client,S2676,2
movsim/movsim,S1244,31
movsim/movsim,S2183,5
movsim/movsim,S2259,5
movsim/movsim,S3518,4
movsim/movsim,S1764,1
movsim/movsim,S2583,1
pinterest/singer,S899,24
pinterest/singer,S2583,6
pinterest/singer,S3077,5
pinterest/singer,S2189,4
pinterest/singer,S3923,2
pinterest/singer,S2676,2
pinterest/singer,S2259,2
pinterest/singer,S1206,1
brianfrankcooper/YCSB,S2259,9
brianfrankcooper/YCSB,S3077,5
brianfrankcooper/YCSB,S2676,4
brianfrankcooper/YCSB,S1244,3
brianfrankcooper/YCSB,S3518,2
brianfrankcooper/YCSB,S899,1
brianfrankcooper/YCSB,S1226,1
vincentrussell/sql-to-mongo-db-query-converter,S899,4
vincentrussell/sql-to-mongo-db-query-converter,S2259,3
vincentrussell/sql-to-mongo-db-query-converter,S5998,1
didi/sds,S3077,5
didi/sds,S2259,2
didi/sds,S3518,1
protostuff/protostuff,S3077,12
protostuff/protostuff,S2175,8
protostuff/protostuff,S2259,7
protostuff/protostuff,S1244,4
protostuff/protostuff,S2183,3
protostuff/protostuff,S1764,3
protostuff/protostuff,S1206,2
ontodev/robot,S2259,4
ontodev/robot,S5850,2
ontodev/robot,S899,1
ontodev/robot,S5998,1
ontodev/robot,S2583,1
Hygieia/ExecDashboard,S1751,1
Hygieia/ExecDashboard,S1244,1
smola/galimatias,S1751,1
hap-java/HAP-Java,S3077,6
hap-java/HAP-Java,S2183,2
NLPchina/nlp-lang,S2259,4
NLPchina/nlp-lang,S1206,2
NLPchina/nlp-lang,S2583,2
NLPchina/nlp-lang,S899,1
NLPchina/nlp-lang,S3077,1
MagicTheGathering/mtg-sdk-java,S1206,4
MagicTheGathering/mtg-sdk-java,S1244,1
VueGWT/vue-gwt,S2259,1
szhnet/kcp-netty,S3077,3
szhnet/kcp-netty,S2259,3
GlenKPeterson/Paguro,S2175,4
GlenKPeterson/Paguro,S1206,4
GlenKPeterson/Paguro,S1764,4
GlenKPeterson/Paguro,S2583,2
GlenKPeterson/Paguro,S1221,1
Esri/geometry-api-java,S1244,645
Esri/geometry-api-java,S2259,27
Esri/geometry-api-java,S1764,9
Esri/geometry-api-java,S2583,9
Esri/geometry-api-java,S1221,4
Esri/geometry-api-java,S1206,3
Esri/geometry-api-java,S1226,3
Esri/geometry-api-java,S899,2
Esri/geometry-api-java,S3518,1
Esri/geometry-api-java,S1751,1
ExpediaGroup/stream-registry,S5998,1
smartrics/RestFixture,S899,1
Esri/spatial-framework-for-hadoop,S2259,7
Esri/spatial-framework-for-hadoop,S1244,4
shapesecurity/salvation,S5998,1
houbb/sensitive,S2259,4
kwart/jd-cli,S3077,2
kwart/jd-cli,S899,1
kwart/jd-cli,S2259,1
xerial/sqlite-jdbc,S2259,9
xerial/sqlite-jdbc,S899,4
xerial/sqlite-jdbc,S3077,3
w3c/epubcheck,S899,15
w3c/epubcheck,S2259,8
w3c/epubcheck,S1206,6
w3c/epubcheck,S1244,4
w3c/epubcheck,S2885,1
w3c/epubcheck,S5998,1
srikanth-lingala/zip4j,S899,5
srikanth-lingala/zip4j,S1206,1
srikanth-lingala/zip4j,S2259,1
spotify/annoy-java,S1244,1
aboutsip/pkts,S2259,12
aboutsip/pkts,S1206,5
aboutsip/pkts,S2225,3
aboutsip/pkts,S2183,1
aboutsip/pkts,S2189,1
aboutsip/pkts,S2583,1
tobyweston/simple-excel,S1206,1
MutabilityDetector/MutabilityDetector,S1206,7
MutabilityDetector/MutabilityDetector,S1244,6
MutabilityDetector/MutabilityDetector,S2259,4
MutabilityDetector/MutabilityDetector,S3077,3
MutabilityDetector/MutabilityDetector,S1751,2
MutabilityDetector/MutabilityDetector,S2159,2
gaborbata/jpass,S2259,3
gaborbata/jpass,S1244,2
spotify/semantic-metrics,S3077,1
hcoles/pitest,S899,8
hcoles/pitest,S1244,7
hcoles/pitest,S1206,4
hcoles/pitest,S2583,4
hcoles/pitest,S2189,2
hcoles/pitest,S1764,2
hcoles/pitest,S2259,2
hcoles/pitest,S2201,2
hcoles/pitest,S2175,1
hcoles/pitest,S3923,1
davidmoten/hilbert-curve,S1244,1
kungfoo/geohash-java,S1244,10
kungfoo/geohash-java,S2259,1
kafka-ops/kafka-topology-builder,S1244,3
kafka-ops/kafka-topology-builder,S4143,1
wmixvideo/nfe,S3923,21
wmixvideo/nfe,S2259,10
wmixvideo/nfe,S5998,2
opentracing-contrib/java-jdbc,S2259,1
opentracing-contrib/java-jdbc,S5998,1
spotify/dataenum,S1244,4
spotify/dataenum,S1221,1
uber-common/jvm-profiler,S3077,4
uber-common/jvm-profiler,S1244,2
joelittlejohn/embedmongo-maven-plugin,S899,1
joelittlejohn/embedmongo-maven-plugin,S2189,1
networknt/json-schema-validator,S1244,34
networknt/json-schema-validator,S2259,2
networknt/json-schema-validator,S5998,1
networknt/json-schema-validator,S2583,1
networknt/json-schema-validator,S5850,1
davidmoten/rxjava2-extras,S899,10
davidmoten/rxjava2-extras,S3077,3
davidmoten/rxjava2-extras,S2259,2
davidmoten/rxjava2-extras,S2183,1
davidmoten/rxjava2-extras,S1764,1
simplenlg/simplenlg,S2259,7
simplenlg/simplenlg,S1206,3
simplenlg/simplenlg,S2189,1
simplenlg/simplenlg,S2583,1
cmu-phil/tetrad,S1244,325
cmu-phil/tetrad,S3518,139
cmu-phil/tetrad,S1206,25
cmu-phil/tetrad,S2583,24
cmu-phil/tetrad,S2259,20
cmu-phil/tetrad,S899,8
cmu-phil/tetrad,S1764,7
cmu-phil/tetrad,S3981,6
cmu-phil/tetrad,S3923,5
cmu-phil/tetrad,S2677,4
cmu-phil/tetrad,S2175,2
cmu-phil/tetrad,S2141,2
cmu-phil/tetrad,S2189,1
cmu-phil/tetrad,S1862,1
cmu-phil/tetrad,S2885,1
cmu-phil/tetrad,S1751,1
cmu-phil/tetrad,S2201,1
julman99/gson-fire,S1206,3
GoSimpleLLC/nbvcxz,S1244,1
mojohaus/build-helper-maven-plugin,S899,2
mojohaus/build-helper-maven-plugin,S2259,2
mojohaus/build-helper-maven-plugin,S2201,2
mojohaus/build-helper-maven-plugin,S5850,1
lejon/T-SNE-Java,S1244,29
lejon/T-SNE-Java,S3518,4
lejon/T-SNE-Java,S1226,3
lejon/T-SNE-Java,S1221,3
lejon/T-SNE-Java,S2259,1
redpen-cc/redpen,S2259,125
redpen-cc/redpen,S899,10
redpen-cc/redpen,S2189,6
redpen-cc/redpen,S1764,1
redpen-cc/redpen,S5998,1
Sayi/swagger-dubbo,S3518,1
wstrange/GoogleAuth,S3077,1
wstrange/GoogleAuth,S1751,1
opentracing-contrib/java-kafka-client,S2259,2
junit-team/junit4,S899,17
junit-team/junit4,S3077,14
junit-team/junit4,S2189,6
junit-team/junit4,S1764,3
junit-team/junit4,S2259,3
junit-team/junit4,S3518,2
junit-team/junit4,S1751,1
junit-team/junit4,S2159,1
junit-team/junit4,S1244,1
junit-team/junit4,S2225,1
alexcojocaru/elasticsearch-maven-plugin,S899,2
alexcojocaru/elasticsearch-maven-plugin,S1244,1
davidmoten/rxjava-jdbc,S3077,3
davidmoten/rxjava-jdbc,S899,2
davidmoten/rxjava-jdbc,S1862,1
albfernandez/juniversalchardet,S1244,3
albfernandez/juniversalchardet,S2677,1
jnidzwetzki/bitfinex-v2-wss-api-java,S899,6
alibaba/spring-context-support,S3077,4
alibaba/spring-context-support,S2259,1
zeroturnaround/zt-process-killer,S3077,1
DiUS/java-faker,S5998,1
heroku/webapp-runner,S899,2
3breadt/dd-plist,S2259,13
3breadt/dd-plist,S1244,8
3breadt/dd-plist,S2885,2
3breadt/dd-plist,S1206,1
danfickle/openhtmltopdf,S1244,43
danfickle/openhtmltopdf,S2259,14
danfickle/openhtmltopdf,S3077,2
danfickle/openhtmltopdf,S1221,2
danfickle/openhtmltopdf,S2583,2
danfickle/openhtmltopdf,S899,1
danfickle/openhtmltopdf,S1206,1
danfickle/openhtmltopdf,S1751,1
danfickle/openhtmltopdf,S5998,1
danfickle/openhtmltopdf,S2225,1
mycila/license-maven-plugin,S2639,1
garbagemule/MobArena,S2259,4
garbagemule/MobArena,S1244,2
garbagemule/MobArena,S899,1
garbagemule/MobArena,S1206,1
garbagemule/MobArena,S1221,1
google/guava-beta-checker,S899,2
google/google-java-format,S899,1
google/google-java-format,S2259,1
google/google-java-format,S2583,1
apache/joshua,S1244,80
apache/joshua,S899,15
apache/joshua,S2677,10
apache/joshua,S2259,9
apache/joshua,S3518,8
apache/joshua,S2175,2
apache/joshua,S1862,2
apache/joshua,S1206,2
apache/joshua,S2189,1
apache/joshua,S3923,1
apache/joshua,S1226,1
Wikidata/Wikidata-Toolkit,S2259,3
Wikidata/Wikidata-Toolkit,S899,1
andylamp/BPlusTree,S2583,17
andylamp/BPlusTree,S2259,13
lemire/externalsortinginjava,S899,5
salesforce/mirus,S899,1
salesforce/mirus,S3077,1
salesforce/mirus,S1244,1
vivo-project/Vitro,S2259,72
vivo-project/Vitro,S3077,12
vivo-project/Vitro,S2583,10
vivo-project/Vitro,S899,7
vivo-project/Vitro,S1244,6
vivo-project/Vitro,S2885,2
vivo-project/Vitro,S2676,2
vivo-project/Vitro,S1751,2
vivo-project/Vitro,S4143,1
vivo-project/Vitro,S1862,1
vivo-project/Vitro,S3981,1
vivo-project/Vitro,S5998,1
vivo-project/Vitro,S2201,1
ALL,S1244,1274
ALL,S2259,459
ALL,S899,168
ALL,S3077,166
ALL,S3518,162
ALL,S2583,85
ALL,S1206,82
ALL,S1764,34
ALL,S3923,31
ALL,S2189,27
ALL,S2175,17
ALL,S5998,15
ALL,S2183,15
ALL,S2677,15
ALL,S1751,13
ALL,S1221,13
ALL,S2885,12
ALL,S2676,10
ALL,S1226,8
ALL,S3981,7
ALL,S2225,6
ALL,S1862,6
ALL,S2201,6
ALL,S2159,4
ALL,S5850,4
ALL,S2134,3
ALL,S4143,2
ALL,S2141,2
ALL,S2639,1
ALL,ALL,2647
